fornecedor,valor,descricao,categoria
Fixando,434.38,Reparação canalização balneários,Manutenção e Reparações
ManutençãoPro,24.0,Substituição de equipamentos danificados,Manutenção e Reparações
Gráfica Central,257.01,Design de logótipo do clube,Publicidade e Marketing
Ageas,512.76,Seguro de saúde equipa técnica,Seguros
Puma,518.13,Compra de bolas de andebol,Material Desportivo
MEO,65.94,Pack comunicações sede do clube,Comunicações
Galp Energia,230.38,Água e saneamento mês de janeiro,Água Luz e Gás
PricewaterhouseCoopers,468.8,Relatório de contas anual,Serviços de Contabilidade
NOS Empresas,88.06,Fatura telemóvel treinador,Comunicações
Árbitro Costa,152.29,Pagamento de árbitros jogo casa,Arbitragem e Competições
Hertz,81.58,Transporte atletas para competição,Transportes e Deslocações
Árbitro Silva,247.73,Honorários árbitro assistente,Arbitragem e Competições
Allianz,536.19,Renovação seguro instalações desportivas,Seguros
Lidl,962.64,Tablet para gestão de treinos,Equipamento Informático
TOC Independente,84.51,Consultoria financeira gestão associação,Serviços de Contabilidade
Serralharia Norte,171.36,Serviço de limpeza e manutenção geral,Manutenção e Reparações
Fnac,1124.19,Software de gestão desportiva,Equipamento Informático
Publico,242.53,Patrocínio e materiais de merchandising,Publicidade e Marketing
NOS,97.32,Fatura telemóvel treinador,Comunicações
Federação Portuguesa de Andebol,167.96,Inscrição campeonato nacional,Arbitragem e Competições
Hertz,90.26,Aluguer de autocarro para viagem,Transportes e Deslocações
NOS,48.67,Mensalidade internet e telefone,Comunicações
Decathlon,399.08,Material de proteção e luvas de guarda-redes,Material Desportivo
Delegado Ferreira,102.63,Pagamento de árbitros jogo casa,Arbitragem e Competições
Serralharia Norte,217.05,Reparação balneários instalações,Manutenção e Reparações
Worten,544.46,Compra de portátil para escritório,Equipamento Informático
Gráfica Central,447.43,Patrocínio e materiais de merchandising,Publicidade e Marketing
Intersport,721.1,Compra de bolas de andebol,Material Desportivo
Dell,744.29,Impressora para secretaria do clube,Equipamento Informático
Puma,381.1,Material de proteção e luvas de guarda-redes,Material Desportivo
Dell,766.38,Impressora para secretaria do clube,Equipamento Informático
Puma,298.08,Equipamento de treino para atletas,Material Desportivo
NMedia,116.66,Campanha nas redes sociais,Publicidade e Marketing
Pinturas Lisboa,531.81,Arranjo de portões e vedações,Manutenção e Reparações
Apple,286.34,Impressora para secretaria do clube,Equipamento Informático
Fixando,362.56,Substituição de equipamentos danificados,Manutenção e Reparações
Uber,126.95,Combustível deslocação a jogo fora,Transportes e Deslocações
El Corte Inglés,88.29,Catering jantar de gala do clube,Alimentação e Bebidas
Gráfica Central,194.18,Criação de site e presença online,Publicidade e Marketing
Serralharia Norte,215.53,Serviço de limpeza e manutenção geral,Manutenção e Reparações
Galp Energia,129.24,Fornecimento de energia elétrica pavilhão,Água Luz e Gás
Galp,136.45,Transporte atletas para competição,Transportes e Deslocações
